student_id,club
7798814,CS Club
2149193,CS Club
5062031,Cryptocurrency Club
7361386,Robotics Club
5484525,Entrepreneur Club
5849744,CS Club
5849744,Robotics Club
1303047,Entrepreneur Club
1303047,Robotics Club
1515716,Robotics Club
1515716,Cryptocurrency Club
1134931,Cryptocurrency Club
1134931,Entrepreneur Club
7610387,Entrepreneur Club
7610387,Cryptocurrency Club
1017158,CS Club
5422382,Robotics Club
7541941,CS Club
9614903,Entrepreneur Club
8719106,CS Club
3461094,CS Club
7847834,Cryptocurrency Club
8173445,Robotics Club
8131408,Robotics Club
3704367,CS Club
3704367,Cryptocurrency Club
5851717,CS Club
5851717,Robotics Club
5751616,Entrepreneur Club
5126650,Entrepreneur Club
7486193,CS Club
3965662,Entrepreneur Club
4695175,Robotics Club
7383506,Robotics Club
8621768,Robotics Club
8463161,Entrepreneur Club
8463161,Robotics Club
1739486,CS Club
8452984,Entrepreneur Club
7035752,Entrepreneur Club
8416967,Entrepreneur Club
3446132,CS Club
7811702,Robotics Club
6904743,Cryptocurrency Club
8406576,Robotics Club
6042176,Cryptocurrency Club
8960454,Entrepreneur Club
8974402,Cryptocurrency Club
3442538,Entrepreneur Club
3442538,CS Club
5126631,Entrepreneur Club
3759364,Entrepreneur Club
2298001,Cryptocurrency Club
8841131,CS Club
8841131,Cryptocurrency Club
7838867,Cryptocurrency Club
1837150,CS Club
3605830,Entrepreneur Club
7119330,CS Club
1329591,CS Club
4828934,CS Club
9282994,CS Club
9432884,Cryptocurrency Club
8441203,Cryptocurrency Club
6185763,Cryptocurrency Club
9763243,Entrepreneur Club
7393614,Entrepreneur Club
5732666,Cryptocurrency Club
4436208,Cryptocurrency Club
7078702,Entrepreneur Club
5354715,Entrepreneur Club
6940518,Robotics Club
6940518,Cryptocurrency Club
7380830,CS Club
4904852,Robotics Club
4755324,Robotics Club
3537067,Cryptocurrency Club
2106032,Robotics Club
5060866,Cryptocurrency Club
5060866,Entrepreneur Club
4129610,Robotics Club
2386128,Robotics Club
7307331,CS Club
4529160,CS Club
9272739,Cryptocurrency Club
9400750,Cryptocurrency Club
3142459,Entrepreneur Club
6192030,CS Club
1234706,Entrepreneur Club
9657004,CS Club
4955020,Entrepreneur Club
4955020,CS Club
9139062,Robotics Club
5883623,CS Club
8363589,CS Club
3273417,Cryptocurrency Club
3273417,Entrepreneur Club
7871397,Robotics Club
6721357,Robotics Club
6721357,Cryptocurrency Club
7668005,Cryptocurrency Club
9062024,CS Club
3755226,CS Club
3755226,Cryptocurrency Club
7267496,Cryptocurrency Club
3544614,Entrepreneur Club
4472718,CS Club
9354199,Robotics Club
3680812,Entrepreneur Club
3207529,Robotics Club
3207529,Cryptocurrency Club
6766018,CS Club
9024300,Entrepreneur Club
9024300,Cryptocurrency Club
1115483,Robotics Club
7678806,Cryptocurrency Club
6482359,CS Club
6936402,Cryptocurrency Club
6936402,Robotics Club
9225250,Robotics Club
3584668,Robotics Club
4356601,Entrepreneur Club
8652895,Cryptocurrency Club
6772215,Cryptocurrency Club
1406859,Entrepreneur Club
6398913,Entrepreneur Club
