student_id,course,grade,points_earned,max_points
7798814,2210,a,4,4
7798814,1215,b,3,4
2149193,1600,a,4,4
2149193,1170,b,3,4
2149193,1597,a,4,4
5062031,1115,a,4,4
7361386,1530,b,3,4
7361386,1003,d,1,4
5484525,1400,a,4,4
5484525,1001,b,3,4
5849744,2210,c,2,4
5849744,1115,f,0,4
1303047,1600,w,0,0
1303047,1050,b,3,4
1303047,1002,a,4,4
1515716,1597,a,4,4
3822320,1600,f,0,4
3822320,1597,f,0,4
9548347,2210,a,4,4
9548347,1002,a,4,4
5131111,1400,a,4,4
5131111,2210,a,4,4
5131111,1600,d,1,4
2227757,1003,b,3,4
1802931,1400,d,1,4
1802931,1170,a,4,4
9339781,1115,b,3,4
9339781,1590,a,4,4
1134931,1050,b,3,4
1134931,1215,w,0,0
7610387,1400,w,0,0
7610387,1597,a,4,4
1017158,1170,b,3,4
1017158,1003,b,3,4
1017158,1597,b,3,4
5422382,1600,w,0,0
7541941,1400,b,3,4
7541941,1600,f,0,4
4008227,2210,b,3,4
4008227,1530,b,3,4
9614903,1400,b,3,4
9614903,1590,a,4,4
8719106,1400,a,4,4
8719106,1002,b,3,4
3461094,1590,a,4,4
7847834,1050,b,3,4
7847834,1590,f,0,4
7847834,1170,f,0,4
3829242,1600,a,4,4
3829242,1003,f,0,4
8173445,1002,a,4,4
8173445,1530,b,3,4
8418791,1600,w,0,0
8418791,1115,a,4,4
4780951,2210,a,4,4
4780951,1003,c,2,4
8131408,1050,f,0,4
8131408,1590,a,4,4
8131408,1170,a,4,4
5851717,1050,d,1,4
5851717,1115,a,4,4
5851717,1215,w,0,0
5751616,1050,b,3,4
5751616,1215,a,4,4
5126650,1400,w,0,0
5126650,2210,c,2,4
5126650,1003,a,4,4
7486193,1400,b,3,4
7486193,1597,b,3,4
7486193,1215,f,0,4
4038541,1580,b,3,4
4038541,1590,a,4,4
3965662,1002,f,0,4
3965662,1170,c,2,4
4695175,1001,d,1,4
4695175,1530,a,4,4
2678484,1400,a,4,4
2678484,2210,b,3,4
2678484,1530,a,4,4
7383506,1002,a,4,4
7383506,1115,a,4,4
7383506,1003,a,4,4
8621768,2210,f,0,4
8621768,1050,f,0,4
8621768,1597,f,0,4
8463161,1050,a,4,4
8463161,1003,c,2,4
8463161,1590,a,4,4
1739486,1400,f,0,4
1739486,1170,f,0,4
8452984,1600,b,3,4
8452984,1580,w,0,0
7035752,2210,b,3,4
7035752,1530,b,3,4
7035752,1597,b,3,4
8179439,1001,a,4,4
8179439,1170,b,3,4
1190341,1600,a,4,4
1190341,1001,a,4,4
8416967,1170,f,0,4
9835437,1597,b,3,4
3446132,1530,b,3,4
3446132,1170,a,4,4
7811702,1400,a,4,4
7811702,1170,f,0,4
6904743,1600,a,4,4
6904743,1590,a,4,4
6904743,1215,b,3,4
3600317,1600,a,4,4
3600317,1001,b,3,4
3600317,1597,b,3,4
4447032,2210,b,3,4
4447032,1002,b,3,4
4447032,1530,a,4,4
3555999,1170,b,3,4
3555999,1115,a,4,4
9494873,2210,a,4,4
9494873,1215,w,0,0
8406576,1115,a,4,4
8406576,1003,b,3,4
6042176,1400,a,4,4
6042176,1215,a,4,4
8960454,1400,a,4,4
8974402,1400,b,3,4
8974402,1597,a,4,4
3442538,1400,b,3,4
3442538,1001,a,4,4
3442538,1115,a,4,4
1270178,1400,b,3,4
1270178,1050,d,1,4
5126631,1003,b,3,4
5126631,1580,a,4,4
3759364,1001,d,1,4
2298001,1580,b,3,4
2298001,1590,a,4,4
1297598,1003,a,4,4
1297598,1580,b,3,4
1297598,1590,a,4,4
9939221,1115,f,0,4
9939221,1580,b,3,4
9939221,1590,b,3,4
8841131,1001,b,3,4
8841131,1530,f,0,4
8841131,1115,b,3,4
7838867,1600,b,3,4
7838867,1530,b,3,4
2680945,1600,b,3,4
2680945,1001,a,4,4
2680945,1050,a,4,4
1837150,1170,a,4,4
1837150,1590,a,4,4
3605830,1003,a,4,4
3605830,1597,f,0,4
8954058,1115,w,0,0
8954058,1580,d,1,4
2207639,1600,a,4,4
2207639,1215,d,1,4
6915519,1115,b,3,4
7119330,1001,a,4,4
1329591,1400,a,4,4
1329591,1001,a,4,4
1329591,1530,w,0,0
8854136,1400,a,4,4
8854136,1170,a,4,4
8854136,1002,a,4,4
3292348,1001,a,4,4
3292348,1050,b,3,4
4828934,1001,b,3,4
4828934,1002,b,3,4
8121331,1215,a,4,4
9282994,2210,b,3,4
1731969,1002,a,4,4
1731969,1597,d,1,4
6705283,1170,b,3,4
6705283,1003,f,0,4
6705283,1215,b,3,4
9432884,1115,a,4,4
8441203,1215,c,2,4
8124289,1215,b,3,4
6185763,1002,a,4,4
9763243,1600,a,4,4
9763243,1003,d,1,4
7393614,1600,a,4,4
7393614,2210,a,4,4
7393614,1002,d,1,4
5732666,1170,b,3,4
5732666,1003,b,3,4
6730376,2210,a,4,4
4436208,1050,a,4,4
4436208,1580,a,4,4
4436208,1215,a,4,4
7078702,1400,a,4,4
7078702,1001,b,3,4
7078702,1215,a,4,4
5354715,1600,a,4,4
5354715,1530,a,4,4
5354715,1002,b,3,4
5554120,1530,w,0,0
5554120,1215,b,3,4
6940518,1002,b,3,4
6940518,1215,a,4,4
8492220,1170,b,3,4
8492220,1597,a,4,4
6641751,1115,b,3,4
6641751,1215,f,0,4
7380830,1600,b,3,4
7380830,2210,a,4,4
7380830,1003,w,0,0
8539894,1400,a,4,4
8539894,1530,w,0,0
4904852,1050,w,0,0
4904852,1003,a,4,4
4814246,1600,a,4,4
4814246,1115,a,4,4
4814246,1590,c,2,4
4755324,1170,a,4,4
4755324,1050,b,3,4
3370477,2210,b,3,4
3370477,1597,b,3,4
3443499,1600,f,0,4
3443499,1001,a,4,4
3443499,1590,a,4,4
3537067,1600,f,0,4
3537067,1400,b,3,4
3537067,1215,b,3,4
2668119,1597,w,0,0
2106032,1597,a,4,4
5060866,1115,c,2,4
5060866,1597,a,4,4
4129610,1530,a,4,4
4129610,1597,a,4,4
4129610,1590,a,4,4
7737799,1001,b,3,4
7737799,1580,a,4,4
8052141,1003,f,0,4
9178569,1001,a,4,4
9178569,1590,b,3,4
2386128,1400,a,4,4
2386128,1215,a,4,4
7307331,1050,a,4,4
7307331,1170,b,3,4
7647273,1600,b,3,4
7647273,1002,b,3,4
4529160,1002,a,4,4
4529160,1530,a,4,4
9272739,1580,b,3,4
9400750,1001,f,0,4
9400750,1590,c,2,4
1527536,1530,b,3,4
1527536,1580,a,4,4
1505313,1001,d,1,4
1505313,1003,b,3,4
1505313,1580,a,4,4
3142459,1400,a,4,4
3142459,1003,a,4,4
6192030,1600,a,4,4
6192030,1215,d,1,4
9657004,1002,a,4,4
7095861,1597,a,4,4
7095861,1590,a,4,4
4955020,1600,a,4,4
4955020,1003,b,3,4
9139062,1600,b,3,4
9139062,1170,a,4,4
9139062,1590,a,4,4
5883623,1400,w,0,0
5883623,1003,d,1,4
2469246,1600,f,0,4
2469246,1002,a,4,4
2469246,1170,w,0,0
8363589,1003,a,4,4
3273417,1170,a,4,4
3273417,1530,a,4,4
3852517,1050,f,0,4
3852517,1597,a,4,4
7871397,1530,b,3,4
7871397,1003,b,3,4
7871397,1597,a,4,4
8457984,1001,c,2,4
8457984,1050,b,3,4
8457984,1003,a,4,4
6721357,1002,f,0,4
6721357,1170,d,1,4
7668005,1530,a,4,4
7668005,1115,b,3,4
7668005,1590,a,4,4
9062024,1170,a,4,4
9062024,1002,a,4,4
1602747,1170,f,0,4
1602747,1580,a,4,4
3755226,1170,a,4,4
3755226,1597,b,3,4
3755226,1590,a,4,4
7267496,1003,a,4,4
7267496,1597,b,3,4
3926663,1050,a,4,4
3926663,1170,a,4,4
7713024,1530,a,4,4
7713024,1580,b,3,4
3544614,1580,f,0,4
3544614,1215,a,4,4
4472718,2210,b,3,4
4472718,1580,b,3,4
1263404,2210,f,0,4
8325551,1215,a,4,4
9354199,1001,b,3,4
9354199,1580,f,0,4
3680812,1215,b,3,4
3207529,1600,b,3,4
3207529,1050,b,3,4
6766018,1050,w,0,0
6766018,1580,a,4,4
9024300,1001,a,4,4
9024300,1530,a,4,4
2891900,1400,d,1,4
2891900,1115,b,3,4
1115483,1600,a,4,4
1115483,2210,b,3,4
7362238,1050,a,4,4
7362238,1215,a,4,4
7678806,1002,a,4,4
7678806,1003,b,3,4
7678806,1530,b,3,4
6482359,1400,d,1,4
6482359,1170,a,4,4
6482359,1597,a,4,4
7761583,1400,c,2,4
7761583,1590,a,4,4
5876195,1002,b,3,4
5876195,1050,d,1,4
5876195,1597,w,0,0
8450447,1597,a,4,4
6936402,2210,b,3,4
6936402,1580,a,4,4
9225250,1001,a,4,4
9225250,2210,a,4,4
3584668,1002,a,4,4
3584668,1115,d,1,4
3584668,1530,b,3,4
4356601,1050,a,4,4
4356601,1115,b,3,4
8652895,1050,w,0,0
8652895,1215,a,4,4
6772215,1400,a,4,4
6772215,1170,b,3,4
1406859,1597,a,4,4
1406859,1590,w,0,0
6398913,1530,d,1,4
6398913,1002,a,4,4
6276752,1170,w,0,0
6276752,1050,f,0,4
6276752,1530,c,2,4
1922319,2210,b,3,4
1922319,1115,a,4,4
1922319,1215,b,3,4
7525243,1002,a,4,4
7525243,1215,c,2,4
1371517,1400,b,3,4
1371517,1002,a,4,4
1371517,1003,b,3,4
4381198,1600,a,4,4
4381198,1115,a,4,4
2950347,1400,b,3,4
2950347,1597,f,0,4
5950985,1002,a,4,4
5950985,1215,a,4,4
3260499,1002,a,4,4
3252006,1530,c,2,4
3252006,1003,b,3,4
2423417,1400,b,3,4
2423417,1170,a,4,4
2182653,1400,a,4,4
2182653,1590,c,2,4
9817816,1600,a,4,4
4958469,1400,d,1,4
4958469,1003,c,2,4
1287073,1530,d,1,4
1287073,1003,f,0,4
5184157,1170,b,3,4
5184157,1003,a,4,4
5184157,1580,b,3,4
7594841,1050,b,3,4
7594841,1597,f,0,4
1015901,2210,a,4,4
1015901,1590,b,3,4
5703215,1580,w,0,0
5703215,1597,c,2,4
5147541,1002,b,3,4
5147541,1580,a,4,4
8788863,2210,f,0,4
8788863,1530,a,4,4
6990591,1530,a,4,4
6990591,1597,c,2,4
5380854,1001,f,0,4
5380854,1530,a,4,4
5380854,1215,w,0,0
2068478,1400,c,2,4
2068478,1600,a,4,4
4197529,1002,a,4,4
4197529,1115,a,4,4
4777828,1003,f,0,4
6403945,1400,d,1,4
6403945,1115,b,3,4
6403945,1215,a,4,4
9812447,2210,c,2,4
9812447,1050,b,3,4
5320724,1530,a,4,4
5320724,1003,d,1,4
5363822,1050,a,4,4
5363822,1597,a,4,4
2681971,1050,a,4,4
6642376,1050,c,2,4
6642376,1215,b,3,4
5422090,1001,w,0,0
5422090,1170,b,3,4
6402404,1001,b,3,4
6402404,2210,d,1,4
6402404,1215,b,3,4
2451072,1115,a,4,4
2451072,1590,a,4,4
2075291,2210,w,0,0
8780730,1400,a,4,4
8780730,1600,a,4,4
8780730,1215,a,4,4
2688149,1400,a,4,4
2688149,1590,b,3,4
4548028,1600,f,0,4
4548028,1170,a,4,4
4548028,1003,w,0,0
2460633,1050,b,3,4
2460633,1580,c,2,4
2460633,1215,a,4,4
4557620,1001,b,3,4
4557620,1002,d,1,4
5060283,1400,a,4,4
5060283,1600,b,3,4
1850316,1580,c,2,4
4379497,2210,w,0,0
4379497,1050,b,3,4
4312766,1001,f,0,4
4312766,1115,w,0,0
4838144,1002,b,3,4
4838144,1003,a,4,4
4838144,1597,a,4,4
3595083,1002,f,0,4
3595083,1003,d,1,4
3595083,1597,b,3,4
5282920,1400,d,1,4
2472168,1001,d,1,4
2472168,1002,a,4,4
2472168,1115,a,4,4
8497850,2210,c,2,4
8497850,1590,b,3,4
6623351,1600,a,4,4
6623351,1170,b,3,4
1881759,1590,a,4,4
5842272,1400,b,3,4
8364426,1600,c,2,4
8364426,1001,f,0,4
6227818,1600,b,3,4
6227818,2210,b,3,4
1644129,1050,b,3,4
1953047,1170,a,4,4
1953047,1115,b,3,4
1797815,1003,a,4,4
1797815,1590,d,1,4
1437468,1170,a,4,4
2274224,1115,d,1,4
9451462,1003,a,4,4
9451462,1597,b,3,4
6481989,1001,c,2,4
6481989,1597,b,3,4
7864651,1115,f,0,4
1544961,1400,a,4,4
1544961,1170,a,4,4
1863793,1002,a,4,4
1863793,1003,b,3,4
8479049,1170,b,3,4
8479049,1590,a,4,4
7539433,1530,a,4,4
7539433,1002,b,3,4
3830099,1600,b,3,4
3830099,1003,a,4,4
2451162,1170,w,0,0
4291483,2210,a,4,4
3335236,1001,d,1,4
3335236,1050,w,0,0
3335236,1597,f,0,4
6716042,1590,c,2,4
5146920,1170,a,4,4
5146920,1597,b,3,4
7688364,2210,b,3,4
7688364,1597,c,2,4
7688364,1590,a,4,4
5233223,1001,a,4,4
5233223,1115,a,4,4
9994183,1530,a,4,4
9994183,1590,w,0,0
7489206,1050,d,1,4
7489206,1170,b,3,4
5565579,2210,a,4,4
5565579,1115,w,0,0
5565579,1590,w,0,0
2130550,1003,a,4,4
2130550,1580,b,3,4
9593434,1580,c,2,4
9593434,1590,b,3,4
9593434,1215,a,4,4
2573777,2210,b,3,4
2573777,1003,a,4,4
8782205,1115,b,3,4
8782205,1590,a,4,4
9995632,2210,b,3,4
9995632,1597,b,3,4
9995632,1590,c,2,4
2361191,1170,a,4,4
2361191,1003,a,4,4
5859118,1002,d,1,4
5859118,1003,b,3,4
9584447,1002,b,3,4
9584447,1530,b,3,4
2609478,1600,b,3,4
2609478,1050,a,4,4
9178444,1002,w,0,0
9178444,1597,a,4,4
7923247,1115,a,4,4
3426508,1003,a,4,4
3426508,1580,a,4,4
8278444,1170,a,4,4
8278444,1215,d,1,4
4201392,1170,f,0,4
2717886,1170,c,2,4
2717886,1002,a,4,4
9231816,1001,a,4,4
9231816,1597,b,3,4
2359572,1530,a,4,4
2359572,1580,f,0,4
7628141,1530,b,3,4
9276176,2210,a,4,4
9276176,1580,a,4,4
5889075,1001,a,4,4
5889075,1170,a,4,4
5889075,1580,a,4,4
3436599,1050,a,4,4
3436599,1003,w,0,0
3436599,1597,a,4,4
3106402,1001,a,4,4
3106402,2210,a,4,4
3106402,1050,b,3,4
5472697,2210,a,4,4
5472697,1002,a,4,4
5472697,1597,a,4,4
7374039,1003,a,4,4
7374039,1215,a,4,4
1106704,1530,b,3,4
1106704,1003,b,3,4
1106245,1002,b,3,4
1106245,1003,a,4,4
1106245,1597,w,0,0
9356661,2210,c,2,4
9356661,1115,b,3,4
9356661,1530,b,3,4
6249079,1600,a,4,4
6249079,1115,a,4,4
4169951,1002,a,4,4
4169951,1215,a,4,4
4746616,1050,a,4,4
4746616,1170,a,4,4
7156293,1530,b,3,4
7156293,1115,a,4,4
5941074,1600,b,3,4
5941074,1003,a,4,4
5941074,1215,a,4,4
7203812,1400,a,4,4
7203812,1597,a,4,4
6019501,1050,b,3,4
6019501,1597,a,4,4
6019501,1170,w,0,0
1218109,1170,a,4,4
1218109,1580,w,0,0
7523555,1001,b,3,4
7523555,1215,w,0,0
1952624,2210,a,4,4
1952624,1050,a,4,4
9745276,1001,w,0,0
9745276,1530,a,4,4
2414216,1400,w,0,0
2414216,2210,b,3,4
4594227,1002,c,2,4
4594227,1115,a,4,4
9561938,1600,c,2,4
9561938,1530,a,4,4
4785272,1170,a,4,4
4785272,1580,b,3,4
5288443,1400,b,3,4
5288443,1003,f,0,4
8636888,1400,c,2,4
8636888,1590,a,4,4
8003219,1400,f,0,4
8003219,1590,b,3,4
2931679,1530,a,4,4
2931679,1170,a,4,4
8554385,1400,c,2,4
8554385,2210,b,3,4
8554385,1050,d,1,4
8549496,1003,a,4,4
5971491,1001,d,1,4
5971491,1530,b,3,4
5971491,1580,b,3,4
4312149,1002,d,1,4
5627556,2210,a,4,4
5627556,1590,a,4,4
5627556,1170,b,3,4
4753017,1002,b,3,4
4753017,1003,a,4,4
9086041,2210,b,3,4
9086041,1580,b,3,4
4246631,1600,b,3,4
4246631,1002,d,1,4
1615394,1400,b,3,4
1615394,1597,b,3,4
7323377,1050,w,0,0
7323377,1115,b,3,4
3514530,1001,b,3,4
3514530,1002,b,3,4
1961648,1170,b,3,4
6056123,1530,a,4,4
6267362,2210,b,3,4
6267362,1002,w,0,0
6267362,1003,b,3,4
1347561,1003,c,2,4
1347561,1580,d,1,4
4150943,2210,f,0,4
4150943,1580,c,2,4
4150943,1170,b,3,4
9267243,1530,a,4,4
9267243,1050,c,2,4
9904330,1050,a,4,4
9904330,1003,a,4,4
9904330,1170,b,3,4
3212134,1001,a,4,4
3212134,1002,f,0,4
3212134,1580,b,3,4
9624309,1400,a,4,4
9624309,1001,d,1,4
9624309,1530,a,4,4
8802041,1400,a,4,4
8802041,1580,a,4,4
4721982,1002,a,4,4
4721982,1003,a,4,4
8860240,1400,a,4,4
8860240,1597,a,4,4
3331407,1050,b,3,4
3331407,1002,b,3,4
3675187,1400,b,3,4
3675187,1003,a,4,4
3675187,1590,a,4,4
3804258,1001,c,2,4
3804258,1530,a,4,4
5130033,1001,f,0,4
5130033,1580,d,1,4
7058365,1002,b,3,4
7058365,1580,a,4,4
3797340,1400,a,4,4
3797340,1170,b,3,4
3797340,2210,a,4,4
9063423,1050,f,0,4
9063423,1002,a,4,4
8832146,2210,a,4,4
8832146,1530,w,0,0
1984756,1001,d,1,4
1984756,1530,a,4,4
9510666,2210,c,2,4
9510666,1597,a,4,4
8297271,1400,b,3,4
8297271,1590,a,4,4
8784285,1003,c,2,4
7267445,1600,b,3,4
7267445,1115,b,3,4
7198792,1050,c,2,4
3319831,1400,w,0,0
3319831,1530,b,3,4
3319831,1590,f,0,4
7443278,1600,a,4,4
7443278,1590,b,3,4
7443278,1215,a,4,4
5950252,1600,a,4,4
5950252,1170,b,3,4
5950252,1215,f,0,4
8295500,1001,c,2,4
8295500,2210,b,3,4
8295500,1590,f,0,4
8211629,1050,a,4,4
8211629,1597,c,2,4
7128923,1170,a,4,4
7128923,1530,a,4,4
4152146,1530,b,3,4
4152146,1115,b,3,4
1822841,1597,b,3,4
7540671,2210,b,3,4
7540671,1590,a,4,4
1921982,1003,f,0,4
1921982,1580,a,4,4
6825269,1215,b,3,4
8647153,1002,a,4,4
8647153,1215,b,3,4
4797184,1530,a,4,4
4797184,1580,f,0,4
3816103,1001,a,4,4
3816103,1530,b,3,4
6262917,1600,a,4,4
6262917,1002,b,3,4
6642433,1050,b,3,4
2066836,2210,f,0,4
2066836,1580,f,0,4
5267988,1001,a,4,4
5267988,2210,a,4,4
5267988,1003,b,3,4
6030044,1115,b,3,4
6030044,1590,f,0,4
9279140,2210,b,3,4
9279140,1115,f,0,4
9279140,1597,w,0,0
8700230,1600,a,4,4
8700230,1115,a,4,4
8700230,1580,b,3,4
8933718,2210,b,3,4
8933718,1590,b,3,4
6298975,1580,a,4,4
6298975,1215,b,3,4
5093777,1600,a,4,4
9323389,2210,d,1,4
9323389,1597,a,4,4
4332478,1530,w,0,0
4332478,1215,f,0,4
2415477,1597,b,3,4
2520704,1001,b,3,4
3033551,1530,d,1,4
3033551,1050,a,4,4
4745396,1002,d,1,4
4745396,1170,a,4,4
7482092,1600,b,3,4
7482092,1050,b,3,4
5166434,1170,d,1,4
5166434,1590,b,3,4
5959835,1580,c,2,4
6080795,1600,a,4,4
6080795,1530,a,4,4
4200042,1400,a,4,4
