id,name
1001,Computing &Quantitative Reason
1002,The Outer Limits of Reasoning
1003,Exploring Robotics
1050,Intro to Computer Applications
1115,Intro to JAVA Programming
1170,Java for Programmers
1215,Intro to Programming in Python
1400,Elementary Robotics
1530,Electronic Commerce
1580,Computer Mangement Games
1590,Management Information Systems
1597,New Media and Business
1600,Intro Multi Comput
2210,Discrete Structure
2531,Operations Management
2590,Foundation Business Analytics
2600,Introduction Music Computing
2820,Computers and Ethics
3115,Intro Modern Prog Techniques
3130,Data Structures
3140,Design&Implemntatn Web Applctn
3142,Programming Paradigms in C++
3160,Programming Languages
3171,Intro to Software Engineering
3220,Analysis of Algorithms
3225,Data Tools and Algorithms
3230,Theoretical Computer Science
3310,Computer Architecture
3320,Operating Systems
3350,Workstation Programming
3410,Artificial Intelligence
3610,Intro Multimedia Programming
3620,Computer Graphics
3650,Human-Computer Interaction
3667,Game Design and Development
3810,Database Systems
4331,System & Ntwrk Admin
4900,Independent & Group Projects 1
4905,Independent & Group Projects 2
